Timings;Voltage [V];Current Corrected [A] ;Power [W];Status;;;;;;
00:00:01;5;2,18E-01;1,09E+00;Not at Work;;;;;;
00:00:02;5;1,98E-01;9,90E-01;Not at Work;;;;;Average Power Consumption:;1,04E+00
00:00:03;5;1,98E-01;9,90E-01;Not at Work;;;;;Power Consumption 25 ° C:;1,09E+00
00:00:04;5;1,98E-01;9,90E-01;Not at Work;;;;;Power Consumption 30 ° C:;1,27
00:00:05;5;2,07E-01;1,04E+00;Not at Work;;;;;;
00:00:06;5;2,01E-01;1,01E+00;Not at Work;;;;;;
00:00:07;5;2,07E-01;1,04E+00;Not at Work;;;;;;
00:00:08;5;1,98E-01;9,90E-01;Not at Work;;;;;;
00:00:09;5;1,96E-01;9,80E-01;Not at Work;;;;;;
00:00:10;5;2,31E-01;1,16E+00;At Work (In the Office);;;;;;
00:00:11;5;1,98E-01;9,90E-01;At Work (In the Office);;;;;;
00:00:12;5;1,95E-01;9,75E-01;At Work (In the Office);;;;;;
00:00:13;5;1,98E-01;9,90E-01;At Work (In the Office);;;;;;
00:00:14;5;1,98E-01;9,90E-01;At Work (In the Office);;;;;;
00:00:15;5;2,13E-01;1,07E+00;At Work (In the Office);;;;;;
00:00:16;5;1,98E-01;9,90E-01;At Work (In the Office);;;;;;
00:00:17;5;1,95E-01;9,75E-01;At Work (In the Office);;;;;;
00:00:18;5;2,10E-01;1,05E+00;At Work (In the Office);;;;;;
00:00:19;5;1,95E-01;9,75E-01;At Work (In the Office);;;;;;
00:00:20;5;2,10E-01;1,05E+00;At Work (In the Office);;;;;;
00:00:21;5;2,22E-01;1,11E+00;At Work (In the Office);;;;;;
00:00:22;5;1,96E-01;9,80E-01;At Work (In the Office);;;;;;
00:00:23;5;2,01E-01;1,01E+00;At Work (In the Office);;;;;;
00:00:24;5;1,94E-01;9,70E-01;At Work (In the Office);;;;;;
00:00:25;5;1,98E-01;9,90E-01;At Work (In the Office);;;;;;
00:00:26;5;2,08E-01;1,04E+00;At Work (In the Office);;;;;;
00:00:27;5;2,00E-01;1,00E+00;At Work (In the Office);;;;;;
00:00:28;5;2,08E-01;1,04E+00;At Work (In the Office);;;;;;
00:00:29;5;2,27E-01;1,14E+00;At Work (In the Office);;;;;;
00:00:30;5;2,05E-01;1,03E+00;At Work (In the Office);;;;;;
00:00:31;5;2,10E-01;1,05E+00;At Work (In the Office);;;;;;
00:00:32;5;2,01E-01;1,01E+00;At Work (In the Office);;;;;;
00:00:33;5;2,05E-01;1,03E+00;At Work (In the Office);;;;;;
00:00:34;5;1,95E-01;9,75E-01;At Work (In the Office);;;;;;
00:00:35;5;2,04E-01;1,02E+00;At Work (In the Office);;;;;;
00:00:36;5;2,31E-01;1,16E+00;At Work (In the Office);;;;;;
00:00:37;5;1,99E-01;9,95E-01;At Work (In the Office);;;;;;
00:00:38;5;1,97E-01;9,85E-01;At Work (In the Office);;;;;;
00:00:39;5;2,07E-01;1,04E+00;At Work (In the Office);;;;;;
00:00:40;5;1,98E-01;9,90E-01;At Work (In the Office);;;;;;
00:00:41;5;2,07E-01;1,04E+00;At Work (In the Office);;;;;;
00:00:42;5;1,98E-01;9,90E-01;At Work (In the Office);;;;;;
00:00:43;5;1,95E-01;9,75E-01;At Work (In the Office);;;;;;
00:00:44;5;2,31E-01;1,16E+00;At Work (In the Office);;;;;;
00:00:45;5;1,98E-01;9,90E-01;At Work (In the Office);;;;;;
00:00:46;5;1,95E-01;9,75E-01;At Work (In the Office);;;;;;
00:00:47;5;2,20E-01;1,10E+00;At Work (In the Office);;;;;;
00:00:48;5;2,29E-01;1,15E+00;At Work (In the Office);;;;;;
00:00:49;5;2,05E-01;1,03E+00;At Work (In the Office);;;;;;
00:00:50;5;1,99E-01;9,95E-01;At Work (In the Office);;;;;;
00:00:51;5;1,95E-01;9,75E-01;At Work (In the Office);;;;;;
00:00:52;5;2,33E-01;1,17E+00;At Work (In the Office);;;;;;
00:00:53;5;1,95E-01;9,75E-01;At Work (In the Office);;;;;;
00:00:54;5;2,10E-01;1,05E+00;At Work (In the Office);;;;;;
00:00:55;5;2,00E-01;1,00E+00;At Work (In the Office);;;;;;
00:00:56;5;1,98E-01;9,90E-01;At Work (In the Office);;;;;;
00:00:57;5;1,99E-01;9,95E-01;At Work (In the Office);;;;;;
00:00:58;5;1,95E-01;9,75E-01;At Work (In the Office);;;;;;
